G141 grating,
Wavelength,Transmission
,
1.0751,8.84E-02
1.0752,8.91E-02
1.0753,8.98E-02
1.0754,9.05E-02
1.0755,9.12E-02
1.0756,9.20E-02
1.0757,9.27E-02
1.0758,9.34E-02
1.0759,9.42E-02
1.0760,9.49E-02
1.0761,9.57E-02
1.0762,9.65E-02
1.0763,9.72E-02
1.0764,9.80E-02
1.0765,9.88E-02
1.0766,9.96E-02
1.0767,1.00E-01
1.0768,1.01E-01
1.0769,1.02E-01
1.0770,1.03E-01
1.0771,1.04E-01
1.0772,1.04E-01
1.0773,1.05E-01
1.0774,1.06E-01
1.0775,1.07E-01
1.0776,1.08E-01
1.0777,1.09E-01
1.0778,1.09E-01
1.0779,1.10E-01
1.0780,1.11E-01
1.0781,1.12E-01
1.0782,1.13E-01
1.0783,1.14E-01
1.0784,1.15E-01
1.0785,1.16E-01
1.0786,1.16E-01
1.0787,1.17E-01
1.0788,1.18E-01
1.0789,1.19E-01
1.0790,1.20E-01
1.0791,1.21E-01
1.0792,1.22E-01
1.0793,1.23E-01
1.0794,1.24E-01
1.0795,1.25E-01
1.0796,1.26E-01
1.0797,1.27E-01
1.0798,1.28E-01
1.0799,1.28E-01
1.0800,1.29E-01
1.0801,1.30E-01
1.0802,1.31E-01
1.0803,1.32E-01
1.0804,1.33E-01
1.0805,1.34E-01
1.0806,1.35E-01
1.0807,1.35E-01
1.0808,1.36E-01
1.0809,1.37E-01
1.0810,1.38E-01
1.0811,1.39E-01
1.0812,1.40E-01
1.0813,1.41E-01
1.0814,1.42E-01
1.0815,1.43E-01
1.0816,1.44E-01
1.0817,1.44E-01
1.0818,1.45E-01
1.0819,1.46E-01
1.0820,1.47E-01
1.0821,1.48E-01
1.0822,1.49E-01
1.0823,1.50E-01
1.0824,1.51E-01
1.0825,1.52E-01
1.0826,1.53E-01
1.0827,1.54E-01
1.0828,1.55E-01
1.0829,1.56E-01
1.0830,1.56E-01
1.0831,1.57E-01
1.0832,1.58E-01
1.0833,1.59E-01
1.0834,1.60E-01
1.0835,1.61E-01
1.0836,1.62E-01
1.0837,1.63E-01
1.0838,1.64E-01
1.0839,1.65E-01
1.0840,1.66E-01
1.0841,1.67E-01
1.0842,1.68E-01
1.0843,1.69E-01
1.0844,1.70E-01
1.0845,1.71E-01
1.0846,1.71E-01
1.0847,1.72E-01
1.0848,1.73E-01
1.0849,1.74E-01
1.0850,1.75E-01
1.0851,1.76E-01
1.0852,1.76E-01
1.0853,1.77E-01
1.0854,1.78E-01
1.0855,1.79E-01
1.0856,1.80E-01
1.0857,1.81E-01
1.0858,1.82E-01
1.0859,1.82E-01
1.0860,1.83E-01
1.0861,1.84E-01
1.0862,1.85E-01
1.0863,1.86E-01
1.0864,1.86E-01
1.0865,1.87E-01
1.0866,1.88E-01
1.0867,1.89E-01
1.0868,1.90E-01
1.0869,1.91E-01
1.0870,1.91E-01
1.0871,1.92E-01
1.0872,1.93E-01
1.0873,1.94E-01
1.0874,1.95E-01
1.0875,1.95E-01
1.0876,1.96E-01
1.0877,1.97E-01
1.0878,1.98E-01
1.0879,1.98E-01
1.0880,1.99E-01
1.0881,2.00E-01
1.0882,2.01E-01
1.0883,2.02E-01
1.0884,2.02E-01
1.0885,2.03E-01
1.0886,2.04E-01
1.0887,2.05E-01
1.0888,2.05E-01
1.0889,2.06E-01
1.0890,2.07E-01
1.0891,2.08E-01
1.0892,2.08E-01
1.0893,2.09E-01
1.0894,2.10E-01
1.0895,2.11E-01
1.0896,2.11E-01
1.0897,2.12E-01
1.0898,2.13E-01
1.0899,2.14E-01
1.0900,2.14E-01
1.0901,2.15E-01
1.0902,2.16E-01
1.0903,2.17E-01
1.0904,2.17E-01
1.0905,2.18E-01
1.0906,2.19E-01
1.0907,2.20E-01
1.0908,2.20E-01
1.0909,2.21E-01
1.0910,2.22E-01
1.0911,2.22E-01
1.0912,2.23E-01
1.0913,2.24E-01
1.0914,2.24E-01
1.0915,2.25E-01
1.0916,2.26E-01
1.0917,2.27E-01
1.0918,2.27E-01
1.0919,2.28E-01
1.0920,2.29E-01
1.0921,2.29E-01
1.0922,2.30E-01
1.0923,2.31E-01
1.0924,2.31E-01
1.0925,2.32E-01
1.0926,2.33E-01
1.0927,2.33E-01
1.0928,2.34E-01
1.0929,2.35E-01
1.0930,2.35E-01
1.0931,2.36E-01
1.0932,2.37E-01
1.0933,2.37E-01
1.0934,2.38E-01
1.0935,2.39E-01
1.0936,2.39E-01
1.0937,2.40E-01
1.0938,2.41E-01
1.0939,2.42E-01
1.0940,2.42E-01
1.0941,2.43E-01
1.0942,2.44E-01
1.0943,2.45E-01
1.0944,2.45E-01
1.0945,2.46E-01
1.0946,2.47E-01
1.0947,2.48E-01
1.0948,2.48E-01
1.0949,2.49E-01
1.0950,2.50E-01
1.0951,2.51E-01
1.0952,2.51E-01
1.0953,2.52E-01
1.0954,2.53E-01
1.0955,2.54E-01
1.0956,2.54E-01
1.0957,2.55E-01
1.0958,2.56E-01
1.0959,2.57E-01
1.0960,2.57E-01
1.0961,2.58E-01
1.0962,2.59E-01
1.0963,2.60E-01
1.0964,2.61E-01
1.0965,2.61E-01
1.0966,2.62E-01
1.0967,2.63E-01
