# wl, Throughput, emissivity
3.5600,0.8828,0.0000
3.5650,0.8832,0.0000
3.5700,0.8835,0.0000
3.5750,0.8838,0.0000
3.5800,0.8841,0.0000
3.5850,0.8844,0.0000
3.5900,0.8847,0.0000
3.5950,0.8850,0.0000
3.6000,0.8853,0.0000
3.6050,0.8856,0.0000
3.6100,0.8859,0.0000
3.6150,0.8862,0.0000
3.6200,0.8865,0.0000
3.6250,0.8868,0.0000
3.6300,0.8871,0.0000
3.6350,0.8874,0.0000
3.6400,0.8876,0.0000
3.6450,0.8879,0.0000
3.6500,0.8882,0.0000
3.6550,0.8885,0.0000
3.6600,0.8888,0.0000
3.6650,0.8891,0.0000
3.6700,0.8894,0.0000
3.6750,0.8897,0.0000
3.6800,0.8899,0.0000
3.6850,0.8902,0.0000
3.6900,0.8905,0.0000
3.6950,0.8908,0.0000
3.7000,0.8911,0.0000
3.7050,0.8913,0.0000
3.7100,0.8916,0.0000
3.7150,0.8919,0.0000
3.7200,0.8922,0.0000
3.7250,0.8924,0.0000
3.7300,0.8927,0.0000
3.7350,0.8930,0.0000
3.7400,0.8932,0.0000
3.7450,0.8935,0.0000
3.7500,0.8938,0.0000
3.7550,0.8940,0.0000
3.7600,0.8943,0.0000
3.7650,0.8946,0.0000
3.7700,0.8948,0.0000
3.7750,0.8951,0.0000
3.7800,0.8954,0.0000
3.7850,0.8956,0.0000
3.7900,0.8959,0.0000
3.7950,0.8962,0.0000
3.8000,0.8964,0.0000
3.8050,0.8967,0.0000
3.8100,0.8969,0.0000
3.8150,0.8972,0.0000
3.8200,0.8974,0.0000
3.8250,0.8977,0.0000
3.8300,0.8979,0.0000
3.8350,0.8982,0.0000
3.8400,0.8984,0.0000
3.8450,0.8987,0.0000
3.8500,0.8989,0.0000
3.8550,0.8992,0.0000
3.8600,0.8994,0.0000
3.8650,0.8997,0.0000
3.8700,0.8999,0.0000
3.8750,0.9002,0.0000
3.8800,0.9004,0.0000
3.8850,0.9007,0.0000
3.8900,0.9009,0.0000
3.8950,0.9011,0.0000
3.9000,0.9014,0.0000
3.9050,0.9016,0.0000
3.9100,0.9019,0.0000
3.9150,0.9021,0.0000
3.9200,0.9023,0.0000
3.9250,0.9026,0.0000
3.9300,0.9028,0.0000
3.9350,0.9030,0.0000
3.9400,0.9033,0.0000
3.9450,0.9035,0.0000
3.9500,0.9037,0.0000
3.9550,0.9040,0.0000
3.9600,0.9042,0.0000
3.9650,0.9044,0.0000
3.9700,0.9047,0.0000
3.9750,0.9049,0.0000
3.9800,0.9051,0.0000
3.9850,0.9053,0.0000
3.9900,0.9056,0.0000
3.9950,0.9058,0.0000
4.0000,0.9060,0.0000
4.0050,0.9062,0.0000
4.0100,0.9065,0.0000
4.0150,0.9067,0.0000
4.0200,0.9069,0.0000
4.0250,0.9071,0.0000
4.0300,0.9073,0.0000
4.0350,0.9076,0.0000
4.0400,0.9078,0.0000
4.0450,0.9080,0.0000
4.0500,0.9082,0.0000
4.0550,0.9084,0.0000
4.0600,0.9086,0.0000
4.0650,0.9089,0.0000
4.0700,0.9091,0.0000
4.0750,0.9093,0.0000
4.0800,0.9095,0.0000
4.0850,0.9097,0.0000
4.0900,0.9099,0.0000
4.0950,0.9101,0.0000
4.1000,0.9103,0.0000
4.1050,0.9105,0.0000
4.1100,0.9108,0.0000
4.1150,0.9110,0.0000
4.1200,0.9112,0.0000
4.1250,0.9114,0.0000
4.1300,0.9116,0.0000
4.1350,0.9118,0.0000
4.1400,0.9120,0.0000
4.1450,0.9122,0.0000
4.1500,0.9124,0.0000
4.1550,0.9126,0.0000
4.1600,0.9128,0.0000
4.1650,0.9130,0.0000
4.1700,0.9132,0.0000
4.1750,0.9134,0.0000
4.1800,0.9136,0.0000
4.1850,0.9138,0.0000
4.1900,0.9140,0.0000
4.1950,0.9142,0.0000
4.2000,0.9144,0.0000
4.2050,0.9146,0.0000
4.2100,0.9148,0.0000
4.2150,0.9150,0.0000
4.2200,0.9151,0.0000
4.2250,0.9153,0.0000
4.2300,0.9155,0.0000
4.2350,0.9157,0.0000
4.2400,0.9159,0.0000
4.2450,0.9161,0.0000
4.2500,0.9163,0.0000
4.2550,0.9165,0.0000
4.2600,0.9167,0.0000
4.2650,0.9168,0.0000
4.2700,0.9170,0.0000
4.2750,0.9172,0.0000
4.2800,0.9174,0.0000
4.2850,0.9176,0.0000
4.2900,0.9178,0.0000
4.2950,0.9180,0.0000
4.3000,0.9181,0.0000
4.3050,0.9183,0.0000
4.3100,0.9185,0.0000
4.3150,0.9187,0.0000
4.3200,0.9189,0.0000
4.3250,0.9190,0.0000
4.3300,0.9192,0.0000
4.3350,0.9194,0.0000
4.3400,0.9196,0.0000
4.3450,0.9198,0.0000
4.3500,0.9199,0.0000
4.3550,0.9201,0.0000
4.3600,0.9203,0.0000
4.3650,0.9205,0.0000
4.3700,0.9206,0.0000
4.3750,0.9208,0.0000
4.3800,0.9210,0.0000
4.3850,0.9212,0.0000
4.3900,0.9213,0.0000
4.3950,0.9215,0.0000
4.4000,0.9217,0.0000
4.4050,0.9218,0.0000
4.4100,0.9220,0.0000
4.4150,0.9222,0.0000
4.4200,0.9224,0.0000
4.4250,0.9225,0.0000
4.4300,0.9227,0.0000
4.4350,0.9229,0.0000
4.4400,0.9230,0.0000
4.4450,0.9232,0.0000
4.4500,0.9234,0.0000
4.4550,0.9235,0.0000
4.4600,0.9237,0.0000
4.4650,0.9238,0.0000
4.4700,0.9240,0.0000
4.4750,0.9242,0.0000
4.4800,0.9243,0.0000
4.4850,0.9245,0.0000
4.4900,0.9247,0.0000
4.4950,0.9248,0.0000
4.5000,0.9250,0.0000
4.5050,0.9251,0.0000
4.5100,0.9253,0.0000
4.5150,0.9255,0.0000
4.5200,0.9256,0.0000
4.5250,0.9258,0.0000
4.5300,0.9259,0.0000
4.5350,0.9261,0.0000
4.5400,0.9262,0.0000
4.5450,0.9264,0.0000
4.5500,0.9266,0.0000
4.5550,0.9267,0.0000
4.5600,0.9269,0.0000
4.5650,0.9270,0.0000
4.5700,0.9272,0.0000
4.5750,0.9273,0.0000
4.5800,0.9275,0.0000
4.5850,0.9276,0.0000
4.5900,0.9278,0.0000
4.5950,0.9279,0.0000
4.6000,0.9281,0.0000
4.6050,0.9282,0.0000
4.6100,0.9284,0.0000
4.6150,0.9285,0.0000
4.6200,0.9287,0.0000
4.6250,0.9288,0.0000
4.6300,0.9290,0.0000
4.6350,0.9291,0.0000
4.6400,0.9293,0.0000
4.6450,0.9294,0.0000
4.6500,0.9296,0.0000
4.6550,0.9297,0.0000
4.6600,0.9299,0.0000
4.6650,0.9300,0.0000
4.6700,0.9302,0.0000
4.6750,0.9303,0.0000
4.6800,0.9304,0.0000
4.6850,0.9306,0.0000
4.6900,0.9307,0.0000
4.6950,0.9309,0.0000
4.7000,0.9310,0.0000
4.7050,0.9312,0.0000
4.7100,0.9313,0.0000
4.7150,0.9314,0.0000
4.7200,0.9316,0.0000
4.7250,0.9317,0.0000
4.7300,0.9319,0.0000
4.7350,0.9320,0.0000
4.7400,0.9321,0.0000
4.7450,0.9323,0.0000
4.7500,0.9324,0.0000
4.7550,0.9325,0.0000
4.7600,0.9327,0.0000
4.7650,0.9328,0.0000
4.7700,0.9329,0.0000
4.7750,0.9331,0.0000
4.7800,0.9332,0.0000
4.7850,0.9334,0.0000
4.7900,0.9335,0.0000
4.7950,0.9336,0.0000
4.8000,0.9338,0.0000
4.8050,0.9339,0.0000
4.8100,0.9340,0.0000
4.8150,0.9342,0.0000
4.8200,0.9343,0.0000
4.8250,0.9344,0.0000
4.8300,0.9346,0.0000
4.8350,0.9347,0.0000
4.8400,0.9348,0.0000
4.8450,0.9349,0.0000
4.8500,0.9351,0.0000
4.8550,0.9352,0.0000
4.8600,0.9353,0.0000
4.8650,0.9355,0.0000
4.8700,0.9356,0.0000
4.8750,0.9357,0.0000
4.8800,0.9358,0.0000
4.8850,0.9360,0.0000
4.8900,0.9361,0.0000
4.8950,0.9362,0.0000
4.9000,0.9363,0.0000
4.9050,0.9365,0.0000
4.9100,0.9366,0.0000
4.9150,0.9367,0.0000
4.9200,0.9368,0.0000
4.9250,0.9370,0.0000
4.9300,0.9371,0.0000
4.9350,0.9372,0.0000
4.9400,0.9373,0.0000
4.9450,0.9375,0.0000
4.9500,0.9376,0.0000
4.9550,0.9377,0.0000
4.9600,0.9378,0.0000
4.9650,0.9379,0.0000
4.9700,0.9381,0.0000
4.9750,0.9382,0.0000
4.9800,0.9383,0.0000
4.9850,0.9384,0.0000
4.9900,0.9386,0.0000
4.9950,0.9387,0.0000
5.0000,0.9388,0.0000
5.0050,0.9389,0.0000
5.0100,0.9390,0.0000
5.0150,0.9391,0.0000
5.0200,0.9393,0.0000
5.0250,0.9394,0.0000
5.0300,0.9395,0.0000
5.0350,0.9396,0.0000
