# lambda [um], beta [deg], x [micron]
2.060000e+00,-4.364889e-02,-1.371271e+02
2.065000e+00,-4.422557e-02,-1.389388e+02
2.070000e+00,-4.480365e-02,-1.407548e+02
2.075000e+00,-4.538313e-02,-1.425753e+02
2.080000e+00,-4.596400e-02,-1.444002e+02
2.085000e+00,-4.654628e-02,-1.462295e+02
2.090000e+00,-4.712995e-02,-1.480631e+02
2.095000e+00,-4.771502e-02,-1.499012e+02
2.100000e+00,-4.830149e-02,-1.517436e+02
2.105000e+00,-4.888935e-02,-1.535905e+02
2.110000e+00,-4.947862e-02,-1.554417e+02
2.115000e+00,-5.006928e-02,-1.572973e+02
2.120000e+00,-5.066134e-02,-1.591573e+02
2.125000e+00,-5.125480e-02,-1.610217e+02
2.130000e+00,-5.184966e-02,-1.628905e+02
2.135000e+00,-5.244591e-02,-1.647637e+02
2.140000e+00,-5.304356e-02,-1.666413e+02
2.145000e+00,-5.364261e-02,-1.685233e+02
2.150000e+00,-5.424306e-02,-1.704097e+02
2.155000e+00,-5.484491e-02,-1.723004e+02
2.160000e+00,-5.544815e-02,-1.741956e+02
2.165000e+00,-5.605279e-02,-1.760951e+02
2.170000e+00,-5.665883e-02,-1.779990e+02
2.175000e+00,-5.726627e-02,-1.799074e+02
2.180000e+00,-5.787511e-02,-1.818201e+02
2.185000e+00,-5.848534e-02,-1.837372e+02
2.190000e+00,-5.909698e-02,-1.856587e+02
2.195000e+00,-5.971001e-02,-1.875846e+02
2.200000e+00,-6.032443e-02,-1.895149e+02
2.205000e+00,-6.094026e-02,-1.914495e+02
2.210000e+00,-6.155749e-02,-1.933886e+02
2.215000e+00,-6.217611e-02,-1.953321e+02
2.220000e+00,-6.279613e-02,-1.972799e+02
2.225000e+00,-6.341755e-02,-1.992322e+02
2.230000e+00,-6.404036e-02,-2.011888e+02
2.235000e+00,-6.466458e-02,-2.031499e+02
2.240000e+00,-6.529019e-02,-2.051153e+02
2.245000e+00,-6.591720e-02,-2.070851e+02
2.250000e+00,-6.654561e-02,-2.090593e+02
2.255000e+00,-6.717542e-02,-2.110379e+02
2.260000e+00,-6.780662e-02,-2.130209e+02
2.265000e+00,-6.843922e-02,-2.150083e+02
2.270000e+00,-6.907322e-02,-2.170000e+02
2.275000e+00,-6.970862e-02,-2.189962e+02
2.280000e+00,-7.034542e-02,-2.209968e+02
2.285000e+00,-7.098362e-02,-2.230017e+02
2.290000e+00,-7.162321e-02,-2.250111e+02
2.295000e+00,-7.226420e-02,-2.270248e+02
2.300000e+00,-7.290659e-02,-2.290429e+02
2.305000e+00,-7.355037e-02,-2.310654e+02
2.310000e+00,-7.419556e-02,-2.330924e+02
2.315000e+00,-7.484214e-02,-2.351237e+02
2.320000e+00,-7.549012e-02,-2.371594e+02
2.325000e+00,-7.613950e-02,-2.391994e+02
2.330000e+00,-7.679028e-02,-2.412439e+02
2.335000e+00,-7.744245e-02,-2.432928e+02
2.340000e+00,-7.809603e-02,-2.453461e+02
2.345000e+00,-7.875100e-02,-2.474037e+02
2.350000e+00,-7.940737e-02,-2.494658e+02
2.355000e+00,-8.006513e-02,-2.515322e+02
2.360000e+00,-8.072430e-02,-2.536030e+02
2.365000e+00,-8.138486e-02,-2.556783e+02
2.370000e+00,-8.204682e-02,-2.577579e+02
2.375000e+00,-8.271018e-02,-2.598419e+02
2.380000e+00,-8.337494e-02,-2.619303e+02
2.385000e+00,-8.404109e-02,-2.640231e+02
2.390000e+00,-8.470865e-02,-2.661203e+02
2.395000e+00,-8.537760e-02,-2.682218e+02
2.400000e+00,-8.604795e-02,-2.703278e+02
2.405000e+00,-8.671969e-02,-2.724382e+02
2.410000e+00,-8.739284e-02,-2.745529e+02
2.415000e+00,-8.806738e-02,-2.766721e+02
2.420000e+00,-8.874332e-02,-2.787956e+02
2.425000e+00,-8.942066e-02,-2.809235e+02
2.430000e+00,-9.009940e-02,-2.830558e+02
2.435000e+00,-9.077954e-02,-2.851926e+02
2.440000e+00,-9.146107e-02,-2.873337e+02
2.445000e+00,-9.214400e-02,-2.894792e+02
2.450000e+00,-9.282833e-02,-2.916291e+02
2.455000e+00,-9.351406e-02,-2.937833e+02
2.460000e+00,-9.420118e-02,-2.959420e+02
2.465000e+00,-9.488971e-02,-2.981051e+02
2.470000e+00,-9.557963e-02,-3.002725e+02
2.475000e+00,-9.627095e-02,-3.024444e+02
2.480000e+00,-9.696366e-02,-3.046206e+02
2.485000e+00,-9.765778e-02,-3.068013e+02
2.490000e+00,-9.835329e-02,-3.089863e+02
2.495000e+00,-9.905020e-02,-3.111757e+02
2.500000e+00,-9.974851e-02,-3.133695e+02
2.505000e+00,-1.004482e-01,-3.155677e+02
2.510000e+00,-1.011493e-01,-3.177703e+02
2.515000e+00,-1.018518e-01,-3.199773e+02
2.520000e+00,-1.025557e-01,-3.221887e+02
2.525000e+00,-1.032610e-01,-3.244045e+02
2.530000e+00,-1.039677e-01,-3.266246e+02
2.535000e+00,-1.046758e-01,-3.288492e+02
2.540000e+00,-1.053853e-01,-3.310781e+02
2.545000e+00,-1.060962e-01,-3.333115e+02
2.550000e+00,-1.068085e-01,-3.355492e+02
2.555000e+00,-1.075222e-01,-3.377913e+02
2.560000e+00,-1.082373e-01,-3.400378e+02
2.565000e+00,-1.089538e-01,-3.422887e+02
2.570000e+00,-1.096716e-01,-3.445440e+02
2.575000e+00,-1.103909e-01,-3.468037e+02
2.580000e+00,-1.111116e-01,-3.490678e+02
2.585000e+00,-1.118337e-01,-3.513363e+02
2.590000e+00,-1.125571e-01,-3.536092e+02
2.595000e+00,-1.132820e-01,-3.558864e+02
2.600000e+00,-1.140083e-01,-3.581681e+02
2.605000e+00,-1.147360e-01,-3.604541e+02
2.610000e+00,-1.154650e-01,-3.627446e+02
2.615000e+00,-1.161955e-01,-3.650394e+02
2.620000e+00,-1.169273e-01,-3.673386e+02
2.625000e+00,-1.176606e-01,-3.696422e+02
2.630000e+00,-1.183953e-01,-3.719502e+02
2.635000e+00,-1.191313e-01,-3.742626e+02
2.640000e+00,-1.198688e-01,-3.765794e+02
2.645000e+00,-1.206076e-01,-3.789006e+02
2.650000e+00,-1.213479e-01,-3.812262e+02
2.655000e+00,-1.220895e-01,-3.835561e+02
2.660000e+00,-1.228326e-01,-3.858905e+02
2.665000e+00,-1.235770e-01,-3.882292e+02
2.670000e+00,-1.243229e-01,-3.905724e+02
2.675000e+00,-1.250701e-01,-3.929199e+02
2.680000e+00,-1.258187e-01,-3.952719e+02
2.685000e+00,-1.265688e-01,-3.976282e+02
2.690000e+00,-1.273202e-01,-3.999889e+02
2.695000e+00,-1.280730e-01,-4.023540e+02
2.700000e+00,-1.288273e-01,-4.047235e+02
2.705000e+00,-1.295829e-01,-4.070974e+02
2.710000e+00,-1.303399e-01,-4.094757e+02
2.715000e+00,-1.310983e-01,-4.118583e+02
2.720000e+00,-1.318582e-01,-4.142454e+02
2.725000e+00,-1.326194e-01,-4.166368e+02
2.730000e+00,-1.333820e-01,-4.190327e+02
2.735000e+00,-1.341460e-01,-4.214329e+02
2.740000e+00,-1.349114e-01,-4.238376e+02
2.745000e+00,-1.356783e-01,-4.262466e+02
2.750000e+00,-1.364465e-01,-4.286600e+02
2.755000e+00,-1.372161e-01,-4.310778e+02
2.760000e+00,-1.379871e-01,-4.335000e+02
2.765000e+00,-1.387595e-01,-4.359266e+02
2.770000e+00,-1.395333e-01,-4.383576e+02
2.775000e+00,-1.403085e-01,-4.407930e+02
2.780000e+00,-1.410851e-01,-4.432328e+02
2.785000e+00,-1.418631e-01,-4.456769e+02
2.790000e+00,-1.426425e-01,-4.481255e+02
2.795000e+00,-1.434233e-01,-4.505784e+02
2.800000e+00,-1.442055e-01,-4.530358e+02
2.805000e+00,-1.449890e-01,-4.554975e+02
2.810000e+00,-1.457740e-01,-4.579636e+02
2.815000e+00,-1.465604e-01,-4.604341e+02
2.820000e+00,-1.473482e-01,-4.629090e+02
2.825000e+00,-1.481374e-01,-4.653883e+02
2.830000e+00,-1.489280e-01,-4.678720e+02
2.835000e+00,-1.497199e-01,-4.703601e+02
2.840000e+00,-1.505133e-01,-4.728526e+02
2.845000e+00,-1.513081e-01,-4.753495e+02
2.850000e+00,-1.521043e-01,-4.778507e+02
2.855000e+00,-1.529018e-01,-4.803564e+02
2.860000e+00,-1.537008e-01,-4.828664e+02
2.865000e+00,-1.545012e-01,-4.853809e+02
2.870000e+00,-1.553029e-01,-4.878997e+02
2.875000e+00,-1.561061e-01,-4.904229e+02
2.880000e+00,-1.569106e-01,-4.929505e+02
2.885000e+00,-1.577166e-01,-4.954825e+02
2.890000e+00,-1.585239e-01,-4.980189e+02
2.895000e+00,-1.593327e-01,-5.005597e+02
2.900000e+00,-1.601428e-01,-5.031049e+02
2.905000e+00,-1.609544e-01,-5.056545e+02
2.910000e+00,-1.617673e-01,-5.082085e+02
2.915000e+00,-1.625817e-01,-5.107668e+02
2.920000e+00,-1.633974e-01,-5.133296e+02
2.925000e+00,-1.642146e-01,-5.158967e+02
2.930000e+00,-1.650331e-01,-5.184682e+02
2.935000e+00,-1.658531e-01,-5.210442e+02
2.940000e+00,-1.666744e-01,-5.236245e+02
2.945000e+00,-1.674971e-01,-5.262092e+02
2.950000e+00,-1.683212e-01,-5.287983e+02
2.955000e+00,-1.691468e-01,-5.313918e+02
2.960000e+00,-1.699737e-01,-5.339897e+02
2.965000e+00,-1.708020e-01,-5.365920e+02
2.970000e+00,-1.716318e-01,-5.391987e+02
2.975000e+00,-1.724629e-01,-5.418097e+02
2.980000e+00,-1.732954e-01,-5.444252e+02
2.985000e+00,-1.741293e-01,-5.470450e+02
2.990000e+00,-1.749646e-01,-5.496693e+02
2.995000e+00,-1.758013e-01,-5.522979e+02
3.000000e+00,-1.766395e-01,-5.549310e+02
3.005000e+00,-1.774790e-01,-5.575684e+02
3.010000e+00,-1.783199e-01,-5.602102e+02
3.015000e+00,-1.791622e-01,-5.628564e+02
3.020000e+00,-1.800059e-01,-5.655070e+02
3.025000e+00,-1.808510e-01,-5.681620e+02
3.030000e+00,-1.816975e-01,-5.708214e+02
3.035000e+00,-1.825454e-01,-5.734851e+02
3.040000e+00,-1.833947e-01,-5.761533e+02
3.045000e+00,-1.842454e-01,-5.788259e+02
3.050000e+00,-1.850975e-01,-5.815028e+02
3.055000e+00,-1.859509e-01,-5.841842e+02
3.060000e+00,-1.868058e-01,-5.868699e+02
3.065000e+00,-1.876621e-01,-5.895600e+02
3.070000e+00,-1.885198e-01,-5.922546e+02
3.075000e+00,-1.893789e-01,-5.949535e+02
3.080000e+00,-1.902394e-01,-5.976568e+02
3.085000e+00,-1.911012e-01,-6.003645e+02
3.090000e+00,-1.919645e-01,-6.030766e+02
3.095000e+00,-1.928292e-01,-6.057930e+02
3.100000e+00,-1.936953e-01,-6.085139e+02
3.105000e+00,-1.945627e-01,-6.112392e+02
3.110000e+00,-1.954316e-01,-6.139688e+02
3.115000e+00,-1.963019e-01,-6.167029e+02
3.120000e+00,-1.971735e-01,-6.194413e+02
3.125000e+00,-1.980466e-01,-6.221842e+02
3.130000e+00,-1.989210e-01,-6.249314e+02
3.135000e+00,-1.997969e-01,-6.276830e+02
3.140000e+00,-2.006742e-01,-6.304390e+02
3.145000e+00,-2.015528e-01,-6.331994e+02
3.150000e+00,-2.024329e-01,-6.359642e+02
3.155000e+00,-2.033143e-01,-6.387334e+02
3.160000e+00,-2.041972e-01,-6.415070e+02
