# wl, TX, emissivity
4.14,0.90,0.03
4.14,0.90,0.03
4.15,0.90,0.03
4.15,0.90,0.03
4.16,0.90,0.03
4.16,0.90,0.03
4.17,0.90,0.03
4.17,0.90,0.03
4.18,0.90,0.03
4.18,0.90,0.03
4.19,0.90,0.03
4.19,0.90,0.03
4.20,0.90,0.03
4.20,0.90,0.03
4.21,0.90,0.03
4.21,0.90,0.03
4.22,0.90,0.03
4.22,0.90,0.03
4.23,0.90,0.03
4.23,0.90,0.03
4.24,0.90,0.03
4.24,0.90,0.03
4.25,0.90,0.03
4.25,0.90,0.03
4.26,0.90,0.03
4.26,0.90,0.03
4.27,0.90,0.03
4.27,0.90,0.03
4.28,0.90,0.03
4.28,0.90,0.03
4.29,0.90,0.03
4.29,0.90,0.03
4.30,0.90,0.03
4.30,0.90,0.03
4.31,0.90,0.03
4.31,0.90,0.03
4.32,0.90,0.03
4.32,0.90,0.03
4.33,0.90,0.03
4.33,0.90,0.03
4.34,0.90,0.03
4.34,0.90,0.03
4.35,0.90,0.03
4.35,0.90,0.03
4.36,0.90,0.03
4.36,0.90,0.03
4.37,0.90,0.03
4.37,0.90,0.03
4.38,0.90,0.03
4.38,0.90,0.03
4.39,0.90,0.03
4.39,0.90,0.03
4.40,0.90,0.03
4.40,0.90,0.03
4.41,0.90,0.03
4.41,0.90,0.03
4.42,0.90,0.03
4.42,0.90,0.03
4.43,0.90,0.03
4.43,0.90,0.03
4.44,0.90,0.03
4.44,0.90,0.03
4.45,0.90,0.03
4.45,0.90,0.03
4.46,0.90,0.03
4.46,0.90,0.03
4.47,0.90,0.03
4.47,0.90,0.03
4.48,0.90,0.03
4.48,0.90,0.03
4.49,0.90,0.03
4.49,0.90,0.03
4.50,0.90,0.03
4.50,0.90,0.03
4.51,0.90,0.03
4.51,0.90,0.03
4.52,0.90,0.03
4.52,0.90,0.03
4.53,0.90,0.03
4.53,0.90,0.03
4.54,0.90,0.03
4.54,0.90,0.03
4.55,0.90,0.03
4.55,0.90,0.03
4.56,0.90,0.03
4.56,0.90,0.03
4.57,0.90,0.03
4.57,0.90,0.03
4.58,0.90,0.03
4.58,0.90,0.03
4.59,0.90,0.03
4.59,0.90,0.03
4.60,0.90,0.03
4.60,0.90,0.03
4.61,0.90,0.03
4.61,0.90,0.03
4.62,0.90,0.03
4.62,0.90,0.03
4.63,0.90,0.03
4.63,0.90,0.03
4.64,0.90,0.03
4.64,0.90,0.03
4.65,0.90,0.03
4.65,0.90,0.03
4.66,0.90,0.03
4.66,0.90,0.03
4.67,0.90,0.03
4.67,0.90,0.03
4.68,0.90,0.03
4.68,0.90,0.03
4.69,0.90,0.03
4.69,0.90,0.03
4.70,0.90,0.03
4.70,0.90,0.03
4.71,0.90,0.03
4.71,0.90,0.03
4.72,0.90,0.03
4.72,0.90,0.03
4.73,0.90,0.03
4.73,0.90,0.03
4.74,0.90,0.03
4.74,0.90,0.03
4.75,0.90,0.03
4.75,0.90,0.03
4.76,0.90,0.03
4.76,0.90,0.03
4.77,0.90,0.03
4.77,0.90,0.03
4.78,0.90,0.03
4.78,0.90,0.03
4.79,0.90,0.03
4.79,0.90,0.03
4.80,0.90,0.03
4.80,0.90,0.03
4.81,0.90,0.03
4.81,0.90,0.03
4.82,0.90,0.03
4.82,0.90,0.03
4.83,0.90,0.03
4.83,0.90,0.03
4.84,0.90,0.03
4.84,0.90,0.03
4.85,0.90,0.03
4.85,0.90,0.03
4.86,0.90,0.03
4.86,0.90,0.03
4.87,0.90,0.03
4.87,0.90,0.03
4.88,0.90,0.03
4.88,0.90,0.03
4.89,0.90,0.03
4.89,0.90,0.03
4.90,0.90,0.03
4.90,0.90,0.03
4.91,0.90,0.03
4.91,0.90,0.03
4.92,0.90,0.03
4.92,0.90,0.03
4.93,0.90,0.03
4.93,0.90,0.03
4.94,0.90,0.03
4.94,0.90,0.03
4.95,0.90,0.03
4.95,0.90,0.03
4.96,0.90,0.03
4.96,0.90,0.03
4.97,0.90,0.03
4.97,0.90,0.03
4.98,0.90,0.03
4.98,0.90,0.03
4.99,0.90,0.03
4.99,0.90,0.03
5.00,0.90,0.03
5.00,0.90,0.03
5.01,0.90,0.03
5.01,0.90,0.03
5.02,0.90,0.03
5.02,0.90,0.03
5.03,0.90,0.03
5.03,0.90,0.03
5.04,0.90,0.03
5.04,0.90,0.03
5.05,0.90,0.03
5.05,0.90,0.03
5.06,0.90,0.03
5.06,0.90,0.03
5.07,0.90,0.03
5.07,0.90,0.03
5.08,0.90,0.03
5.08,0.90,0.03
5.09,0.90,0.03
5.09,0.90,0.03
5.10,0.90,0.03
5.10,0.90,0.03
5.11,0.90,0.03
5.11,0.90,0.03
5.12,0.90,0.03
