# lambda [um], beta [deg], x [micron]
2.555000e+00,9.670734e-01,9.621724e+02
2.560000e+00,9.663052e-01,9.614080e+02
2.565000e+00,9.655358e-01,9.606423e+02
2.570000e+00,9.647651e-01,9.598753e+02
2.575000e+00,9.639930e-01,9.591071e+02
2.580000e+00,9.632197e-01,9.583375e+02
2.585000e+00,9.624450e-01,9.575667e+02
2.590000e+00,9.616691e-01,9.567945e+02
2.595000e+00,9.608919e-01,9.560211e+02
2.600000e+00,9.601133e-01,9.552463e+02
2.605000e+00,9.593335e-01,9.544703e+02
2.610000e+00,9.585523e-01,9.536930e+02
2.615000e+00,9.577699e-01,9.529143e+02
2.620000e+00,9.569861e-01,9.521344e+02
2.625000e+00,9.562010e-01,9.513531e+02
2.630000e+00,9.554146e-01,9.505706e+02
2.635000e+00,9.546269e-01,9.497867e+02
2.640000e+00,9.538379e-01,9.490015e+02
2.645000e+00,9.530475e-01,9.482150e+02
2.650000e+00,9.522559e-01,9.474272e+02
2.655000e+00,9.514629e-01,9.466381e+02
2.660000e+00,9.506686e-01,9.458477e+02
2.665000e+00,9.498729e-01,9.450559e+02
2.670000e+00,9.490760e-01,9.442629e+02
2.675000e+00,9.482777e-01,9.434685e+02
2.680000e+00,9.474780e-01,9.426728e+02
2.685000e+00,9.466771e-01,9.418758e+02
2.690000e+00,9.458748e-01,9.410774e+02
2.695000e+00,9.450712e-01,9.402777e+02
2.700000e+00,9.442663e-01,9.394767e+02
2.705000e+00,9.434600e-01,9.386744e+02
2.710000e+00,9.426524e-01,9.378707e+02
2.715000e+00,9.418434e-01,9.370657e+02
2.720000e+00,9.410331e-01,9.362594e+02
2.725000e+00,9.402215e-01,9.354517e+02
2.730000e+00,9.394085e-01,9.346427e+02
2.735000e+00,9.385941e-01,9.338323e+02
2.740000e+00,9.377785e-01,9.330207e+02
2.745000e+00,9.369614e-01,9.322076e+02
2.750000e+00,9.361431e-01,9.313933e+02
2.755000e+00,9.353234e-01,9.305776e+02
2.760000e+00,9.345023e-01,9.297605e+02
2.765000e+00,9.336799e-01,9.289421e+02
2.770000e+00,9.328561e-01,9.281224e+02
2.775000e+00,9.320310e-01,9.273013e+02
2.780000e+00,9.312045e-01,9.264789e+02
2.785000e+00,9.303766e-01,9.256551e+02
2.790000e+00,9.295474e-01,9.248299e+02
2.795000e+00,9.287169e-01,9.240034e+02
2.800000e+00,9.278849e-01,9.231756e+02
2.805000e+00,9.270516e-01,9.223464e+02
2.810000e+00,9.262170e-01,9.215158e+02
2.815000e+00,9.253810e-01,9.206839e+02
2.820000e+00,9.245436e-01,9.198506e+02
2.825000e+00,9.237048e-01,9.190160e+02
2.830000e+00,9.228647e-01,9.181800e+02
2.835000e+00,9.220232e-01,9.173426e+02
2.840000e+00,9.211804e-01,9.165039e+02
2.845000e+00,9.203362e-01,9.156638e+02
2.850000e+00,9.194906e-01,9.148224e+02
2.855000e+00,9.186436e-01,9.139796e+02
2.860000e+00,9.177952e-01,9.131354e+02
2.865000e+00,9.169455e-01,9.122898e+02
2.870000e+00,9.160944e-01,9.114429e+02
2.875000e+00,9.152419e-01,9.105946e+02
2.880000e+00,9.143880e-01,9.097449e+02
2.885000e+00,9.135328e-01,9.088938e+02
2.890000e+00,9.126762e-01,9.080414e+02
2.895000e+00,9.118181e-01,9.071876e+02
2.900000e+00,9.109587e-01,9.063324e+02
2.905000e+00,9.100980e-01,9.054759e+02
2.910000e+00,9.092358e-01,9.046180e+02
2.915000e+00,9.083722e-01,9.037586e+02
2.920000e+00,9.075073e-01,9.028979e+02
2.925000e+00,9.066409e-01,9.020359e+02
2.930000e+00,9.057732e-01,9.011724e+02
2.935000e+00,9.049041e-01,9.003075e+02
2.940000e+00,9.040336e-01,8.994413e+02
2.945000e+00,9.031617e-01,8.985737e+02
2.950000e+00,9.022884e-01,8.977047e+02
